,text,sentiment,word_count,stop_words,#tag,@,emails,emails_count,text_x_tokenized,text_x_lemmatized
18,you guys didnt say hi or answer my questions yesterday  but nice songs,positive,13,4,0,0,[],0,"['you', 'guys', 'didnt', 'say', 'hi', 'or', 'answer', 'my', 'questions', 'yesterday', 'but', 'nice', 'songs']","['you', 'guy', 'didnt', 'say', 'hi', 'or', 'answer', 'my', 'question', 'yesterday', 'but', 'nice', 'song']"
19,im going into a spiritual stagnentation its exploding my ego i now realise im not all that great and im ok with that,neutral,23,10,0,0,[],0,"['im', 'going', 'into', 'a', 'spiritual', 'stagnentation', 'its', 'exploding', 'my', 'ego', 'i', 'now', 'realise', 'im', 'not', 'all', 'that', 'great', 'and', 'im', 'ok', 'with', 'that']","['im', 'going', 'into', 'a', 'spiritual', 'stagnentation', 'it', 'exploding', 'my', 'ego', 'i', 'now', 'realise', 'im', 'not', 'all', 'that', 'great', 'and', 'im', 'ok', 'with', 'that']"
20,stupid storm no river for us tonight,negative,7,1,0,0,[],0,"['stupid', 'storm', 'no', 'river', 'for', 'us', 'tonight']","['stupid', 'storm', 'no', 'river', 'for', 'u', 'tonight']"
21,my dead grandpa pays more attention to me than you do,negative,11,6,0,0,[],0,"['my', 'dead', 'grandpa', 'pays', 'more', 'attention', 'to', 'me', 'than', 'you', 'do']","['my', 'dead', 'grandpa', 'pay', 'more', 'attention', 'to', 'me', 'than', 'you', 'do']"
22, need retail therapy bad ahhhgimme money geebus,negative,8,0,0,0,[],0,"['', 'need', 'retail', 'therapy', 'bad', 'ahhhgimme', 'money', 'geebus']","['', 'need', 'retail', 'therapy', 'bad', 'ahhhgimme', 'money', 'geebus']"
23,about to go to sleep,neutral,5,3,0,0,[],0,"['about', 'to', 'go', 'to', 'sleep']","['about', 'to', 'go', 'to', 'sleep']"
24,you are lame  go make me breakfast,negative,7,3,0,0,[],0,"['you', 'are', 'lame', 'go', 'make', 'me', 'breakfast']","['you', 'are', 'lame', 'go', 'make', 'me', 'breakfast']"
25,thats so cool,positive,3,1,0,0,[],0,"['thats', 'so', 'cool']","['thats', 'so', 'cool']"
26,hey peoples dont you just hate being grounded haha im just sat eating an apple and watching death note some anime,neutral,21,6,0,0,[],0,"['hey', 'peoples', 'dont', 'you', 'just', 'hate', 'being', 'grounded', 'haha', 'im', 'just', 'sat', 'eating', 'an', 'apple', 'and', 'watching', 'death', 'note', 'some', 'anime']","['hey', 'people', 'dont', 'you', 'just', 'hate', 'being', 'grounded', 'haha', 'im', 'just', 'sat', 'eating', 'an', 'apple', 'and', 'watching', 'death', 'note', 'some', 'anime']"
27,huh another scarepoint coding sunday,neutral,5,0,0,0,[],0,"['huh', 'another', 'scarepoint', 'coding', 'sunday']","['huh', 'another', 'scarepoint', 'coding', 'sunday']"
28,look who i found just for you  ---  ,positive,9,4,0,0,[],0,"['look', 'who', 'i', 'found', 'just', 'for', 'you', '']","['look', 'who', 'i', 'found', 'just', 'for', 'you', '']"
29,no ac the fan doesnt swing our way  we are sweating it out on a hot humid day,negative,19,8,0,0,[],0,"['no', 'ac', 'the', 'fan', 'doesnt', 'swing', 'our', 'way', 'we', 'are', 'sweating', 'it', 'out', 'on', 'a', 'hot', 'humid', 'day']","['no', 'ac', 'the', 'fan', 'doesnt', 'swing', 'our', 'way', 'we', 'are', 'sweating', 'it', 'out', 'on', 'a', 'hot', 'humid', 'day']"
30,guess that depends on if you want to be on the jury,neutral,12,8,0,0,[],0,"['guess', 'that', 'depends', 'on', 'if', 'you', 'want', 'to', 'be', 'on', 'the', 'jury']","['guess', 'that', 'depends', 'on', 'if', 'you', 'want', 'to', 'be', 'on', 'the', 'jury']"
31,resorted to eating mickey ds alone,neutral,6,1,0,0,[],0,"['resorted', 'to', 'eating', 'mickey', 'ds', 'alone']","['resorted', 'to', 'eating', 'mickey', 'd', 'alone']"
32,there is a faux gothy chick looking at me sorry i am not going to camden and i like pop-punk and jimmy eat world,neutral,24,8,0,0,[],0,"['there', 'is', 'a', 'faux', 'gothy', 'chick', 'looking', 'at', 'me', 'sorry', 'i', 'am', 'not', 'going', 'to', 'camden', 'and', 'i', 'like', 'pop', 'punk', 'and', 'jimmy', 'eat', 'world']","['there', 'is', 'a', 'faux', 'gothy', 'chick', 'looking', 'at', 'me', 'sorry', 'i', 'am', 'not', 'going', 'to', 'camden', 'and', 'i', 'like', 'pop', 'punk', 'and', 'jimmy', 'eat', 'world']"
33,did he ask for your twitter id your sun sign,neutral,10,4,0,0,[],0,"['did', 'he', 'ask', 'for', 'your', 'twitter', 'id', 'your', 'sun', 'sign']","['did', 'he', 'ask', 'for', 'your', 'twitter', 'id', 'your', 'sun', 'sign']"
34,whered you go,neutral,3,1,0,0,[],0,"['whered', 'you', 'go']","['whered', 'you', 'go']"
35,watching body of liesgood film,positive,5,1,0,0,[],0,"['watching', 'body', 'of', 'liesgood', 'film']","['watching', 'body', 'of', 'liesgood', 'film']"
36,happy mothers day mumm  xoxo,positive,5,0,0,0,[],0,"['happy', 'mothers', 'day', 'mumm', 'xoxo']","['happy', 'mother', 'day', 'mumm', 'xoxo']"
37,so i really need to put the laptop down  start getting ready for  shindigbut ive missed my twitterloves all day,neutral,21,6,0,0,[],0,"['so', 'i', 'really', 'need', 'to', 'put', 'the', 'laptop', 'down', 'start', 'getting', 'ready', 'for', 'shindigbut', 'ive', 'missed', 'my', 'twitterloves', 'all', 'day']","['so', 'i', 'really', 'need', 'to', 'put', 'the', 'laptop', 'down', 'start', 'getting', 'ready', 'for', 'shindigbut', 'ive', 'missed', 'my', 'twitterloves', 'all', 'day']"
38,im sorry  at least its friday,negative,6,1,0,0,[],0,"['im', 'sorry', 'at', 'least', 'its', 'friday']","['im', 'sorry', 'at', 'least', 'it', 'friday']"
39,feels sorry every time im printing out i use like 200 new papers,negative,13,0,0,0,[],0,"['feels', 'sorry', 'every', 'time', 'im', 'printing', 'out', 'i', 'use', 'like', '200', 'new', 'papers']","['feel', 'sorry', 'every', 'time', 'im', 'printing', 'out', 'i', 'use', 'like', '200', 'new', 'paper']"
40,4n ma rog  never heard of it  esti beat acum u tweet too much,negative,14,4,0,0,[],0,"['4n', 'ma', 'rog', 'never', 'heard', 'of', 'it', 'esti', 'beat', 'acum', 'u', 'tweet', 'too', 'much']","['4n', 'ma', 'rog', 'never', 'heard', 'of', 'it', 'esti', 'beat', 'acum', 'u', 'tweet', 'too', 'much']"
41,i always forget something when i travel i am at newark airport,neutral,12,3,0,0,[],0,"['i', 'always', 'forget', 'something', 'when', 'i', 'travel', 'i', 'am', 'at', 'newark', 'airport']","['i', 'always', 'forget', 'something', 'when', 'i', 'travel', 'i', 'am', 'at', 'newark', 'airport']"
42,should have left car and walked home i might need someone to rescue me with petrol light flashing,neutral,18,5,0,0,[],0,"['should', 'have', 'left', 'car', 'and', 'walked', 'home', 'i', 'might', 'need', 'someone', 'to', 'rescue', 'me', 'with', 'petrol', 'light', 'flashing']","['should', 'have', 'left', 'car', 'and', 'walked', 'home', 'i', 'might', 'need', 'someone', 'to', 'rescue', 'me', 'with', 'petrol', 'light', 'flashing']"
43,im only updating this so that bretts phone beeps  but really looking at wedding stuff againfor the next five months,neutral,20,7,0,0,[],0,"['im', 'only', 'updating', 'this', 'so', 'that', 'bretts', 'phone', 'beeps', 'but', 'really', 'looking', 'at', 'wedding', 'stuff', 'againfor', 'the', 'next', 'five', 'months']","['im', 'only', 'updating', 'this', 'so', 'that', 'bretts', 'phone', 'beep', 'but', 'really', 'looking', 'at', 'wedding', 'stuff', 'againfor', 'the', 'next', 'five', 'month']"
44, hi there  i agree  small children should be running about happy not breaking down in tears,positive,16,6,0,0,[],0,"['', 'hi', 'there', 'i', 'agree', 'small', 'children', 'should', 'be', 'running', 'about', 'happy', 'not', 'breaking', 'down', 'in', 'tears']","['', 'hi', 'there', 'i', 'agree', 'small', 'child', 'should', 'be', 'running', 'about', 'happy', 'not', 'breaking', 'down', 'in', 'tear']"
45,hope ur havin fun in da club,positive,7,1,0,0,[],0,"['hope', 'ur', 'havin', 'fun', 'in', 'da', 'club']","['hope', 'ur', 'havin', 'fun', 'in', 'da', 'club']"
46,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday,neutral,21,11,0,0,[],0,"['i', 'miss', 'my', 'old', 'phone', 'it', 'worked', 'so', 'good', 'until', 'i', 'dropped', 'it', 'i', 'want', 'a', 'new', 'one', 'for', 'my', 'birthday']","['i', 'miss', 'my', 'old', 'phone', 'it', 'worked', 'so', 'good', 'until', 'i', 'dropped', 'it', 'i', 'want', 'a', 'new', 'one', 'for', 'my', 'birthday']"
47,thinks sg is wonderful,positive,4,1,0,0,[],0,"['thinks', 'sg', 'is', 'wonderful']","['think', 'sg', 'is', 'wonderful']"
48,im really sorry i know wallah how u feel this life is shittttttttt,negative,13,4,0,0,[],0,"['im', 'really', 'sorry', 'i', 'know', 'wallah', 'how', 'u', 'feel', 'this', 'life', 'is', 'shittttttttt']","['im', 'really', 'sorry', 'i', 'know', 'wallah', 'how', 'u', 'feel', 'this', 'life', 'is', 'shittttttttt']"
49,not happy,negative,2,0,0,0,[],0,"['not', 'happy']","['not', 'happy']"
50,is watching acoustic performances  in the mood for a good friends episode i miss that show,neutral,17,4,0,0,[],0,"['is', 'watching', 'acoustic', 'performances', 'in', 'the', 'mood', 'for', 'a', 'good', 'friends', 'episode', 'i', 'miss', 'that', 'show']","['is', 'watching', 'acoustic', 'performance', 'in', 'the', 'mood', 'for', 'a', 'good', 'friend', 'episode', 'i', 'miss', 'that', 'show']"
51,ill oscillate from one to the other,neutral,7,3,0,0,[],0,"['ill', 'oscillate', 'from', 'one', 'to', 'the', 'other']","['ill', 'oscillate', 'from', 'one', 'to', 'the', 'other']"
52,im so very tiredand have insomnia,negative,6,3,0,0,[],0,"['im', 'so', 'very', 'tiredand', 'have', 'insomnia']","['im', 'so', 'very', 'tiredand', 'have', 'insomnia']"
53,thanks ennio,positive,2,0,0,0,[],0,"['thanks', 'ennio']","['thanks', 'ennio']"
54,you should totally come get me and bring me to kelslaws house with you,neutral,14,7,0,0,[],0,"['you', 'should', 'totally', 'come', 'get', 'me', 'and', 'bring', 'me', 'to', 'kelslaws', 'house', 'with', 'you']","['you', 'should', 'totally', 'come', 'get', 'me', 'and', 'bring', 'me', 'to', 'kelslaws', 'house', 'with', 'you']"
55, you seem nice youre generous and you know your stuff,positive,10,3,0,0,[],0,"['', 'you', 'seem', 'nice', 'youre', 'generous', 'and', 'you', 'know', 'your', 'stuff']","['', 'you', 'seem', 'nice', 'youre', 'generous', 'and', 'you', 'know', 'your', 'stuff']"
56,u so dirrrrrty why oh why did i pick the hawks  i figured i needed a longshot and they were a better bet than car,neutral,25,10,0,0,[],0,"['u', 'so', 'dirrrrrty', 'why', 'oh', 'why', 'did', 'i', 'pick', 'the', 'hawks', 'i', 'figured', 'i', 'needed', 'a', 'longshot', 'and', 'they', 'were', 'a', 'better', 'bet', 'than', 'car']","['u', 'so', 'dirrrrrty', 'why', 'oh', 'why', 'did', 'i', 'pick', 'the', 'hawk', 'i', 'figured', 'i', 'needed', 'a', 'longshot', 'and', 'they', 'were', 'a', 'better', 'bet', 'than', 'car']"
57,almost got a kitty yesterdaybut it didnt work out,neutral,9,3,0,0,[],0,"['almost', 'got', 'a', 'kitty', 'yesterdaybut', 'it', 'didnt', 'work', 'out']","['almost', 'got', 'a', 'kitty', 'yesterdaybut', 'it', 'didnt', 'work', 'out']"
58,reality needs to check in schools over time to party  not tonight tho im going to bed night night,neutral,19,4,0,0,[],0,"['reality', 'needs', 'to', 'check', 'in', 'schools', 'over', 'time', 'to', 'party', 'not', 'tonight', 'tho', 'im', 'going', 'to', 'bed', 'night', 'night']","['reality', 'need', 'to', 'check', 'in', 'school', 'over', 'time', 'to', 'party', 'not', 'tonight', 'tho', 'im', 'going', 'to', 'bed', 'night', 'night']"
59,caladesi was definitely a nice peaceful way to spend a sunday i got a lil tan,positive,16,5,0,0,[],0,"['caladesi', 'was', 'definitely', 'a', 'nice', 'peaceful', 'way', 'to', 'spend', 'a', 'sunday', 'i', 'got', 'a', 'lil', 'tan']","['caladesi', 'wa', 'definitely', 'a', 'nice', 'peaceful', 'way', 'to', 'spend', 'a', 'sunday', 'i', 'got', 'a', 'lil', 'tan']"
60,i still dont know what we would do though,neutral,9,4,0,0,[],0,"['i', 'still', 'dont', 'know', 'what', 'we', 'would', 'do', 'though']","['i', 'still', 'dont', 'know', 'what', 'we', 'would', 'do', 'though']"
61,xo   dang it so its not certain    are you okay,neutral,13,5,0,0,[],0,"['xo', 'dang', 'it', 'so', 'its', 'not', 'certain', 'are', 'you', 'okay']","['xo', 'dang', 'it', 'so', 'it', 'not', 'certain', 'are', 'you', 'okay']"
62,change of plans i am staying in brandon  no papaya salad for me,neutral,13,4,0,0,[],0,"['change', 'of', 'plans', 'i', 'am', 'staying', 'in', 'brandon', 'no', 'papaya', 'salad', 'for', 'me']","['change', 'of', 'plan', 'i', 'am', 'staying', 'in', 'brandon', 'no', 'papaya', 'salad', 'for', 'me']"
63,dear rain you suck now i gotta change my plans for tonight,negative,12,3,0,0,[],0,"['dear', 'rain', 'you', 'suck', 'now', 'i', 'gotta', 'change', 'my', 'plans', 'for', 'tonight']","['dear', 'rain', 'you', 'suck', 'now', 'i', 'gotta', 'change', 'my', 'plan', 'for', 'tonight']"
64,at starbucks with my love eff school i have work later too,neutral,12,5,0,0,[],0,"['at', 'starbucks', 'with', 'my', 'love', 'eff', 'school', 'i', 'have', 'work', 'later', 'too']","['at', 'starbucks', 'with', 'my', 'love', 'eff', 'school', 'i', 'have', 'work', 'later', 'too']"
65,i just cried whilst watching hollyoaks   i need a life lol,negative,12,3,0,0,[],0,"['i', 'just', 'cried', 'whilst', 'watching', 'hollyoaks', 'i', 'need', 'a', 'life', 'lol']","['i', 'just', 'cried', 'whilst', 'watching', 'hollyoaks', 'i', 'need', 'a', 'life', 'lol']"
66,hi all just recovering from a party looking forward to an exciting bank holiday around the diy shopslife cant get much bettersurely,positive,22,6,0,0,[],0,"['hi', 'all', 'just', 'recovering', 'from', 'a', 'party', 'looking', 'forward', 'to', 'an', 'exciting', 'bank', 'holiday', 'around', 'the', 'diy', 'shopslife', 'cant', 'get', 'much', 'bettersurely']","['hi', 'all', 'just', 'recovering', 'from', 'a', 'party', 'looking', 'forward', 'to', 'an', 'exciting', 'bank', 'holiday', 'around', 'the', 'diy', 'shopslife', 'cant', 'get', 'much', 'bettersurely']"
67,terminator salvation by myself,neutral,4,1,0,0,[],0,"['terminator', 'salvation', 'by', 'myself']","['terminator', 'salvation', 'by', 'myself']"
68, fortheloss dumbface  him not u what u up to on the wknd i wanna seeeeeee ya,negative,16,7,0,0,[],0,"['', 'fortheloss', 'dumbface', 'him', 'not', 'u', 'what', 'u', 'up', 'to', 'on', 'the', 'wknd', 'i', 'wanna', 'seeeeeee', 'ya']","['', 'fortheloss', 'dumbface', 'him', 'not', 'u', 'what', 'u', 'up', 'to', 'on', 'the', 'wknd', 'i', 'wanna', 'seeeeeee', 'ya']"
69,why do i have to enter my registration details every time i update,neutral,13,4,0,0,[],0,"['why', 'do', 'i', 'have', 'to', 'enter', 'my', 'registration', 'details', 'every', 'time', 'i', 'update']","['why', 'do', 'i', 'have', 'to', 'enter', 'my', 'registration', 'detail', 'every', 'time', 'i', 'update']"
70,on the monday so i wont be able to be with you  i love you,positive,15,9,0,0,[],0,"['on', 'the', 'monday', 'so', 'i', 'wont', 'be', 'able', 'to', 'be', 'with', 'you', 'i', 'love', 'you']","['on', 'the', 'monday', 'so', 'i', 'wont', 'be', 'able', 'to', 'be', 'with', 'you', 'i', 'love', 'you']"
71, ur so cuteim a fan of dream a little dream this kiss and appearances like in dawsons creek  make more flicks,positive,21,6,0,0,[],0,"['', 'ur', 'so', 'cuteim', 'a', 'fan', 'of', 'dream', 'a', 'little', 'dream', 'this', 'kiss', 'and', 'appearances', 'like', 'in', 'dawsons', 'creek', 'make', 'more', 'flicks']","['', 'ur', 'so', 'cuteim', 'a', 'fan', 'of', 'dream', 'a', 'little', 'dream', 'this', 'kiss', 'and', 'appearance', 'like', 'in', 'dawson', 'creek', 'make', 'more', 'flick']"
72,tgif is righti think i broke my toe last night - on my bad foot,neutral,15,4,0,0,[],0,"['tgif', 'is', 'righti', 'think', 'i', 'broke', 'my', 'toe', 'last', 'night', 'on', 'my', 'bad', 'foot']","['tgif', 'is', 'righti', 'think', 'i', 'broke', 'my', 'toe', 'last', 'night', 'on', 'my', 'bad', 'foot']"
73, oherr its soon then do you have plans i had a party on saturday  x,neutral,15,6,0,0,[],0,"['', 'oherr', 'its', 'soon', 'then', 'do', 'you', 'have', 'plans', 'i', 'had', 'a', 'party', 'on', 'saturday', 'x']","['', 'oherr', 'it', 'soon', 'then', 'do', 'you', 'have', 'plan', 'i', 'had', 'a', 'party', 'on', 'saturday', 'x']"
74,lamont yr very young looking dude,positive,6,1,0,0,[],0,"['lamont', 'yr', 'very', 'young', 'looking', 'dude']","['lamont', 'yr', 'very', 'young', 'looking', 'dude']"
75, hmmm wrong link ignore my tweet,negative,7,1,0,0,[],0,"['', 'hmmm', 'wrong', 'link', 'ignore', 'my', 'tweet']","['', 'hmmm', 'wrong', 'link', 'ignore', 'my', 'tweet']"
76,att cheated the system and now i have no green day tickets   you att,negative,15,6,0,0,[],0,"['att', 'cheated', 'the', 'system', 'and', 'now', 'i', 'have', 'no', 'green', 'day', 'tickets', 'you', 'att']","['att', 'cheated', 'the', 'system', 'and', 'now', 'i', 'have', 'no', 'green', 'day', 'ticket', 'you', 'att']"
77,tracy and berwick breaks my achy breaky heart  they split ways in the hallways,negative,14,4,0,0,[],0,"['tracy', 'and', 'berwick', 'breaks', 'my', 'achy', 'breaky', 'heart', 'they', 'split', 'ways', 'in', 'the', 'hallways']","['tracy', 'and', 'berwick', 'break', 'my', 'achy', 'breaky', 'heart', 'they', 'split', 'way', 'in', 'the', 'hallway']"
78, yep i wish they were all playing dubiln,positive,8,4,0,0,[],0,"['', 'yep', 'i', 'wish', 'they', 'were', 'all', 'playing', 'dubiln']","['', 'yep', 'i', 'wish', 'they', 'were', 'all', 'playing', 'dubiln']"
79,im a lady and ladies dont move couches they direct where the couches go,neutral,14,5,0,0,[],0,"['im', 'a', 'lady', 'and', 'ladies', 'dont', 'move', 'couches', 'they', 'direct', 'where', 'the', 'couches', 'go']","['im', 'a', 'lady', 'and', 'lady', 'dont', 'move', 'couch', 'they', 'direct', 'where', 'the', 'couch', 'go']"
80,yay for block party  youre the bomb blockheads 3 dave   thanks for supporting nkotb,positive,14,3,0,0,[],0,"['yay', 'for', 'block', 'party', 'youre', 'the', 'bomb', 'blockheads', '3', 'dave', 'thanks', 'for', 'supporting', 'nkotb']","['yay', 'for', 'block', 'party', 'youre', 'the', 'bomb', 'blockhead', '3', 'dave', 'thanks', 'for', 'supporting', 'nkotb']"
81,26th february,neutral,2,0,0,0,[],0,"['26th', 'february']","['26th', 'february']"
82,guess what mom adopted a kitty today 11 months his name is corky,neutral,13,2,0,0,[],0,"['guess', 'what', 'mom', 'adopted', 'a', 'kitty', 'today', '11', 'months', 'his', 'name', 'is', 'corky']","['guess', 'what', 'mom', 'adopted', 'a', 'kitty', 'today', '11', 'month', 'his', 'name', 'is', 'corky']"
83,happy birthday snickers  i hope you have the best day ever lets go shopping,positive,15,3,0,0,[],0,"['happy', 'birthday', 'snickers', 'i', 'hope', 'you', 'have', 'the', 'best', 'day', 'ever', 'lets', 'go', 'shopping']","['happy', 'birthday', 'snicker', 'i', 'hope', 'you', 'have', 'the', 'best', 'day', 'ever', 'let', 'go', 'shopping']"
84,thank you  im working on s,positive,6,1,0,0,[],0,"['thank', 'you', 'im', 'working', 'on', 's']","['thank', 'you', 'im', 'working', 'on', 's']"
85,lol man i got 2 1 2 hrs an iont how i woulda made it wit out my ramen noodles and tv time,neutral,23,8,0,0,[],0,"['lol', 'man', 'i', 'got', '2', '1', '2', 'hrs', 'an', 'iont', 'how', 'i', 'woulda', 'made', 'it', 'wit', 'out', 'my', 'ramen', 'noodles', 'and', 'tv', 'time']","['lol', 'man', 'i', 'got', '2', '1', '2', 'hr', 'an', 'iont', 'how', 'i', 'woulda', 'made', 'it', 'wit', 'out', 'my', 'ramen', 'noodle', 'and', 'tv', 'time']"
86,not feeling all that well today,negative,6,2,0,0,[],0,"['not', 'feeling', 'all', 'that', 'well', 'today']","['not', 'feeling', 'all', 'that', 'well', 'today']"
87, - my ear hurts and this is my medicine gum,negative,11,3,0,0,[],0,"['', 'my', 'ear', 'hurts', 'and', 'this', 'is', 'my', 'medicine', 'gum']","['', 'my', 'ear', 'hurt', 'and', 'this', 'is', 'my', 'medicine', 'gum']"
88,berland lmao i know i know,neutral,6,0,0,0,[],0,"['berland', 'lmao', 'i', 'know', 'i', 'know']","['berland', 'lmao', 'i', 'know', 'i', 'know']"
89,gnight shar    vega ,neutral,5,0,0,0,[],0,"['gnight', 'shar', 'vega', '']","['gnight', 'shar', 'vega', '']"
90,the underwire in my bra is sticking out and poking me in the armpit,negative,14,8,0,0,[],0,"['the', 'underwire', 'in', 'my', 'bra', 'is', 'sticking', 'out', 'and', 'poking', 'me', 'in', 'the', 'armpit']","['the', 'underwire', 'in', 'my', 'bra', 'is', 'sticking', 'out', 'and', 'poking', 'me', 'in', 'the', 'armpit']"
91,happy mothers day,positive,3,0,0,0,[],0,"['happy', 'mothers', 'day']","['happy', 'mother', 'day']"
92,yes i am,neutral,3,1,0,0,[],0,"['yes', 'i', 'am']","['yes', 'i', 'am']"
93,i cant call mitch  im from sweden,neutral,7,1,0,0,[],0,"['i', 'cant', 'call', 'mitch', 'im', 'from', 'sweden']","['i', 'cant', 'call', 'mitch', 'im', 'from', 'sweden']"
94,happy star wars day may the fourth be with you,positive,10,4,0,0,[],0,"['happy', 'star', 'wars', 'day', 'may', 'the', 'fourth', 'be', 'with', 'you']","['happy', 'star', 'war', 'day', 'may', 'the', 'fourth', 'be', 'with', 'you']"
95,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,19,12,0,0,[],0,"['was', 'so', 'excited', 'to', 'eat', 'the', 'wartermelon', 'i', 'bought', 'the', 'other', 'day', 'and', 'it', 'was', 'terrible', 'and', 'not', 'sweet']","['wa', 'so', 'excited', 'to', 'eat', 'the', 'wartermelon', 'i', 'bought', 'the', 'other', 'day', 'and', 'it', 'wa', 'terrible', 'and', 'not', 'sweet']"
96,i just watched marley  mei cried so hard,negative,9,3,0,0,[],0,"['i', 'just', 'watched', 'marley', 'mei', 'cried', 'so', 'hard']","['i', 'just', 'watched', 'marley', 'mei', 'cried', 'so', 'hard']"
